Theme,Sub-Theme,Priority for Research,Priority identification number (PIN),Additional information supplied by the client,Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Understanding the role of stressors on ecosystem function:
a. Monitoring, assessing and mitigating anthropogenic underwater noise (including seismic sound) effects on marine animals (particularly on fish, invertebrates and sea turtles)
b. Efficacy of mitigation measures for seismic sound outlined in the Statement of Canadian Practice with respect to the Mitigation of Seismic Sound in the Marine Environment
c. Noise in the Arctic: source levels for anthropogenic activities (e.g. pile driving, dredging, icebreaker) and impacts of underwater noise on Arctic marine animals
d. Assessing impact and removal of benthic marine debris (in particular for NL Region)
e. Cumulative effects of sediment regime alteration on coastal system (in particular for Gulf Region).
f. Impacts of fishing gear including novel gear types on different species (e.g., entanglement, bycatch).
g. Impacts of nutrient induced hypoxia on habitat use by estuarine biota (in particular for Gulf Region).","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Comprendre le rôle des agents de stress sur la fonction écosystémique.
a. Surveillance, évaluation et atténuation des effets anthropiques des bruits sous-marins (y compris bruits sismiques) sur la faune marine (plus particulièrement les poissons, les invertébrés et les tortues marines).
b. Ces lignes directrices sont présentées dans l’Énoncé des pratiques canadiennes d’atténuation des ondes sismiques en milieu marin.
c. Bruit dans l’Arctique : niveaux d’émission des activités anthropiques (p. ex. fonçage de pieux, dragage, déglaçage) et répercussions des bruits sous-marins sur la faune marine arctique.
d. Évaluation des répercussions des débris marins benthiques et élimination de ces débris (en particulier pour la région de Terre-Neuve-et-Labrador).
e. Effets cumulatifs de la modification du régime sédimentaire sur le système côtier (en particulier pour la région du Golfe).
f. Répercussions des engins de pêche, y compris les nouveaux types d’engins, sur différentes espèces (p. ex. empêtrements, prises accessoires).
g. Répercussions de l’hypoxie induite par les nutriments sur l’utilisation de l’habitat par le biote estuarien (plus particulièrement dans la région du Golfe)."
Fisheries science,Ecosystem approach in fisheries management,Impact of stressors,FS-05,"Impacts of changing ocean conditions
Arctic marine resources - Changes to marine productivity, population dynamics of priority fish stocks, including marine mammals, native species distributions, range expansions of boreal species",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Incidence des facteurs de stress,FS-05,"Répercussions de l’évolution des conditions océaniques.
Ressources marines arctiques – Changements dans la productivité marine, dynamique des populations des stocks de poissons prioritaires, notamment les mammifères marins, la répartition des espèces indigènes, l’expansion des aires de répartition des espèces boréales."
Climate change & Oceans,Ocean and Freshwater Science,Impacts of changing aquatic conditions (marine and freshwater),CC-03,Improved data and understanding of how oceanographic processes in the Arctic are important to inform how aquatic ecosystems are and will change with a rapidly changing climate.,Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,Amélioration des données et de la compréhension de la façon dont les processus océanographiques dans l’Arctique sont importants pour déterminer l’état des écosystèmes aquatiques et leur évolution dans un climat qui change rapidement.
Climate change & Oceans,Ocean and Freshwater Science,Impacts of changing aquatic conditions (marine and freshwater),CC-03,"Research into how changes in freshwater fluxes (e.g., freshwater runoff, ice melting) will impact the physics on coastal ecosystems (stratification, nutrient and oxygen supply, etc.) ",Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,"Recherche sur la façon dont les changements touchant les flux d’eau douce (p. ex. ruissellement d’eau douce, fonte des glaces) influeront sur la physique des écosystèmes côtiers (stratification, approvisionnement en éléments nutritifs et en oxygène, etc.)."
Climate change & Oceans,Ocean and Freshwater Science,Impacts of changing aquatic conditions (marine and freshwater),CC-03,"Research into how ocean heat storage resulting from global warming will translate at the regional scale (temperature range, sea ice presence, etc.)",Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,"Recherche sur la façon dont le stockage de chaleur océanique résultant du réchauffement climatique se traduira à l’échelle régionale (plage de température, présence de glace de mer, etc.)."
Climate change & Oceans,Ocean and Freshwater Science,Impacts of changing aquatic conditions (marine and freshwater),CC-03,Research into how projected large-scale circulation changes will translate at the regional scale for coastal Canadian waters,Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,Recherche sur la façon dont les changements de circulation à grande échelle projetés se traduiront à l’échelle régionale pour les eaux côtières canadiennes.
Climate change & Oceans,Ocean and Freshwater Science,Impacts of changing aquatic conditions (marine and freshwater),CC-03,Research into the mechanisms driving fluctuations in the State of the Oceans ,Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,Recherche sur les mécanismes à l’origine des fluctuations de l’état des océans.
Climate change & Oceans,Ocean and Freshwater Science,Impacts of changing aquatic conditions (marine and freshwater),CC-03,"Research to understand current and potential changes in ocean conditions (particularly the High Arctic Ocean) as they influence primary production and patterns, distribution and abundance of plankton, fish, invertebrates and marine mammals.",Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,"Recherche visant à comprendre les changements actuels et potentiels des conditions océaniques (en particulier l’océan Extrême-Arctique), car ils influencent la production primaire et les modèles, la distribution et l’abondance du plancton, des poissons, des invertébrés et des mammifères marins."
Climate change & Oceans,Ocean and Freshwater Science,Impacts of changing aquatic conditions (marine and freshwater),CC-03,Understanding of how physical processes are impacting or will impact the frequency and intensity of aquatic heatwaves along Canada’s coastlines.,Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,Compréhension de la façon dont les processus physiques influent ou influeront sur la fréquence et l’intensité des vagues de chaleur aquatiques le long des côtes du Canada.
Climate change & Oceans,Ocean and Freshwater Science,Impacts of changing aquatic conditions (marine and freshwater),CC-03,"Research on the impacts of acidification and hypoxia on aquatic ecosystems and fisheries (rates of recruitment and productivity), including key species such as lobster and scallops.",Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,"Recherche sur les effets de l’acidification et de l’hypoxie sur les écosystèmes aquatiques et les pêches (taux de recrutement et de productivité), y compris les espèces clés comme le homard et le pétoncle."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Assessing and reporting on aquatic ecosystems,Important areas and species,AEb-01,Assessment of ecologically significant areas for the purposes of conservation and protection,"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,Évaluation des zones d’importance écologique aux fins de la conservation et de la protection.
